model,model_family,polynomial_degree,smoothing_lambda_standardized,selection_score_rmse,train_rmse,train_mae,train_r2,loocv_rmse,loocv_mae,loocv_r2,triplet_cv_rmse,triplet_cv_mae,triplet_cv_r2,best_polynomial,best_smoothing_spline,selected
polynomial_degree_12,polynomial,12.0,,0.8887616905356153,0.5993220351517351,0.406313922549015,0.973100468623019,0.6974773630739365,0.474071358899503,0.9635678789027743,1.080046017997294,0.6394916798415603,0.9105321525107766,0,0,0
polynomial_degree_11,polynomial,11.0,,0.9422742173441641,0.6587998768214214,0.4562260561778507,0.9674964167108105,0.7813646711482776,0.534898847990013,0.9542773108797511,1.1031837635400505,0.6835993806537896,0.9066577658911115,0,0,0
polynomial_degree_5,polynomial,5.0,,1.006512671664026,0.8909644494501818,0.6919931162900043,0.9405509424741705,0.9514114593511803,0.7393853949814472,0.9322107266025803,1.0616138839768716,0.8174553091398733,0.9135598229016538,0,0,0
polynomial_degree_3,polynomial,3.0,,1.0097681381037864,0.9489345445958642,0.7381332341851544,0.9325632337808665,0.9820774656629643,0.7660030247713416,0.9277703159851426,1.0374588105446088,0.8137582351326322,0.9174486470951974,0,0,0
polynomial_degree_4,polynomial,4.0,,1.0239165375612687,0.9389762088253415,0.7157667787726923,0.9339712006923996,0.9867460581646785,0.7537376815313382,0.9270819538375887,1.061087016957859,0.8126167869010619,0.9136456001847287,0,0,0
polynomial_degree_2,polynomial,2.0,,1.2036497770548018,1.14260997767721,0.8625717030136333,0.9022267059262583,1.1752724338635987,0.8892733058301698,0.8965569487016471,1.2320271202460051,0.9362384605223965,0.8835812305408263,0,0,0
polynomial_degree_13,polynomial,13.0,,1.2168470825727038,0.593771678312525,0.38439192740640976,0.9735963978294008,0.6908098047719976,0.4567783023811179,0.9642610977379353,1.74288436037341,0.7274241089570138,0.7670194778438285,0,0,0
polynomial_degree_15,polynomial,15.0,,1.6775365545951206,0.5453042699682671,0.3716201146204039,0.9777309331118802,0.8594915352083676,0.4914444287384578,0.944676782418337,2.4955815739818736,0.7845996752807772,0.522332152384089,0,0,0
polynomial_degree_1,polynomial,1.0,,2.556161322318891,2.4557128880740744,1.9736990692125753,0.5483735157091705,2.5174080457766888,2.0194337239717743,0.5253959338535044,2.5949145988610933,2.0702954416054364,0.483549612778276,0,0,0
polynomial_degree_16,polynomial,16.0,,3.34542477262038,0.5402010629839125,0.3857836965600376,0.9781457910149708,0.9119164175822231,0.5367918908998144,0.9377220523625585,5.778933127658537,1.255805525051953,-1.561402367141166,0,0,0
